CODI_10;ORDENACIO_ALFABETICA;NOM COMPLERT;ADREÇA;MUNICIPI;TELÈFON;FAX;TRACTAMENT;PRESIDENT;NOM;COGNOM1;COGNOM2;PARTIT_POLITIC;SEXE;CÀRREC;GERENT;CIF;COMARCA;CODCOMARCA;PROVINCIA;CODIPROV;CAPICOM;ANY_CENS;CENS;CODITIPUS;SUPERFICIE;ARTICLE;NOMTIPUS;CODIPOSTAL;SECRETARI;HORARI;DISSOLT;SIGLACOM;ALTURA;CODIPARE;TIPUSPARE;NOMPARE;HD;NOM_CAPITAL;E_MAIL;WEB;PARTIT_JUDICIAL;PARTIT_ELECTORAL;GENTILICI;LOCALITAT_CP;DELEGACIO_GOVERN;MUNICAT;AMBIT;SITUA_GEO_MUNICIPI;SITUA_GEO_COMARCA;PLANOL_CARRERS;SALUTACIO;DATA_ACTUALITZACIO
2500450006;Alamús;Ajuntament dels Alamús;Pl. de la Creu, 2;Els Alamús;973-199006;973-199226;Il·lm. Sr.;Celestí Panavera Altisent;Celestí;Panavera;Altisent;IxEA - AM;Senyor;Alcalde President;;P2500400C;Segrià;8103320002;Lleida;8002550006;N;2018;796;2;20,4;Els ;Municipis;25221;;tots els dies de 8h a 15h;N;SI;212;;;;H;Els Alamús;ajuntament@alamus.ddl.net;http://alamus.ddl.net;Lleida;Lleida;alamussencs;Els Alamús;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500450006;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25004&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250045;Benvolgut alcalde;26/07/2019
2500580001;Alàs i Cerc;Ajuntament d'Alàs i Cerc;Carrer Major, 10;Alàs i Cerc;973-352054;973-352788;Il·lma. Sra.;Mari Carmen Ribó Domenjó;Mari Carmen;Ribó;Domenjó;JxCAT;Senyora;Alcaldessa Presidenta;;P2500500J;Alt Urgell;8100430008;Lleida;8002550006;N;2018;342;2;57,62;    ;Municipis;25718;;;N;AU;768;;;;D;Alàs;ajuntament@alascerc.ddl.net;http://alascerc.ddl.net;La Seu d'Urgell;La Seu d'Urgell;;Alàs (Alàs i Cerc);Alt Pirineu i Aran;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500580001;Alt Pirineu i Aran;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25005&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|04&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250058;Benvolguda alcaldessa;26/07/2019
2500610007;Albagés;Ajuntament de l'Albagés;Santiago Rusiñol, 9;L'Albagés;973-121129;973-121121;Il·lm. Sr.;Victor Masip Romero;Victor;Masip;Romero;AA;Senyor;Alcalde President;;P2500600H;Garrigues;8101890004;Lleida;8002550006;N;2018;375;2;26,03;  L';Municipis;25155;;;N;GG;372;;;;H;L'Albagés;ajuntament@albages.cat;http://albages.cat;Lleida;Lleida;albagencs;L'Albagés;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500610007;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25006&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|18&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250061;Benvolgut alcalde;26/07/2019
1700310007;Albanyà;Ajuntament d'Albanyà;Ctra. de Figueres, 13;Albanyà;972-569190;972-569190;Il·lm. Sr.;Joan Fàbregas Jordà;Joan;Fàbregas;Jordà;JxCAT;Senyor;Alcalde President;;P1700300E;Alt Empordà;8100220002;Girona;8001760009;N;2018;139;2;93,34;    ;Municipis;17733;;dimarts de 18h a 21h i divendres de 18h a 20h;N;AE;239;;;;H;Albanyà;ajuntament@albanya.cat;http://www.albanya.cat;Figueres;Figueres;albanyencs;Albanyà;Girona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700310007;Comarques Gironines;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17003&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|02&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170031;Benvolgut alcalde;26/07/2019
2500770005;Albatàrrec;Ajuntament d'Albatàrrec;Carrer Dr. Robert, 51;Albatàrrec;973-720013;973-720606;Il·lm. Sr.;Jaume Sanuy López;Jaume;Sanuy;López;JxCAT;Senyor;Alcalde President;;P2500700F;Segrià;8103320002;Lleida;8002550006;N;2018;2335;2;10,75;    ;Municipis;25171;;tots els dies de 9h-14h;N;SI;147;;;;H;Albatàrrec;ajuntament@albatarrec.cat;http://www.albatarrec.cat;Lleida;Lleida;batarrencs;Albatàrrec;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500770005;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25007&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250077;Benvolgut alcalde;26/07/2019
2500830008;Albesa;Ajuntament d'Albesa;Major, 14;Albesa;973-186007;973-186553;Il·lma. Sra.;Eugènia Puig-gròs Clúa;Eugènia;Puig-gròs;Clúa;AETS-AM;Senyora;Alcaldessa Presidenta;;P2500800D;Noguera;8102340003;Lleida;8002550006;N;2018;1576;2;37,46;    ;Municipis;25135;;Tots els dies de 8 a 15;N;NG;237;;;;D;Albesa;ajuntament@albesa.ddl.net;http://albesa.cat;Balaguer;Balaguer;albesans, albesins;Albesa;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500830008;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25008&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|23&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250083;Benvolguda alcaldessa;26/07/2019
2500960009;Albi;Ajuntament de l'Albi;Abeurador, 1;L'Albi;973-175004;973-175858;Il·lma. Sra.;Anna Feliu Moragues;Anna;Feliu;Moragues;JxCAT;Senyora;Alcaldessa Presidenta;;P2500900B;Garrigues;8101890004;Lleida;8002550006;N;2018;762;2;32,77;  L';Municipis;25450;;tots els dies de 9h-13h i de 17h-21h;N;GG;526;;;;D;L'Albi;ajuntament@albi.cat;http://albi.cat;Lleida;Lleida;albinencs;L'Albi;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500960009;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25009&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|18&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250096;Benvolguda alcaldessa;26/07/2019
4300220002;Albinyana;Ajuntament d'Albinyana;Pl. Major, 1;Albinyana;977-687818;977-687701;Il·lm. Sr.;Quim Nin Borreda;Quim;Nin;Borredà;JxCAT;Senyor;Alcalde President;;P4300200E;Baix Penedès;8101200000;Tarragona;8004330008;N;2018;2371;2;19,57;    ;Municipis;43716;;;N;BP;198;;;;H;Albinyana;aj.albinyana@albinyana.cat;http://www.albinyana.cat;El Vendrell;El Vendrell;albinyanencs;Albinyana;Penedès;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=4300220002;Camp de Tarragona;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|43002&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|12&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=430022;Benvolgut alcalde;26/07/2019
4300380001;Albiol;Ajuntament de l'Albiol;Pl. Sant Miquel, 5;L'Albiol;977846160;977767055;Il·lm. Sr.;Mario Cortés Ayen;Mario;Cortés;Ayen;SUMEM-CP;Senyor;Alcalde President;;P4300300C;Baix Camp;8100810007;Tarragona;8004330008;N;2018;464;2;20,38;  L';Municipis;43479;;;N;BC;823;;;;H;L'Albiol;ajuntament@albiol.cat;http://www.albiol.cat;Reus;Valls;albiolencs;L'Albiol;Tarragona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=4300380001;Camp de Tarragona;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|43003&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|08&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=430038;Benvolgut alcalde;26/07/2019
1700460009;Albons;Ajuntament d'Albons;Pl. del Poble, 1;Albons;972-788005;972-788005;Il·lm. Sr.;Joan Hostench Doñabeitia;Joan;Hostench;Doñabeitia;JxCAT;Senyor;Alcalde President;;P1700400C;Baix Empordà;8101080001;Girona;8001760009;N;2018;765;2;11,39;    ;Municipis;17136;;Tots els dies de 9 a 11;N;BM;25;;;;H;Albons;ajuntament@albons.cat;http://www.albons.cat;La Bisbal d'Empordà;Girona;albonencs;Albons;Girona;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700460009;Comarques Gironines;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17004&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|10&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170046;Benvolgut alcalde;26/07/2019
4300430008;Alcanar;Ajuntament d'Alcanar;Generalitat, 10;Alcanar;977-732013;977-730790;Il·lm. Sr.;Joan Roig Castell;Joan;Roig;Castell;ERC - AM;Senyor;Alcalde President;;P4300400A;Montsià;8102280001;Tarragona;8004330008;N;2018;9402;2;47,1;    ;Municipis;43530;;tots els dies 8-15h i dijous 16,30h-19,15h;N;MT;72;;;;H;Alcanar;ajuntament@alcanar.cat;http://www.alcanar.cat;Amposta;Tortosa;canareus;Alcanar;Terres de l'Ebre;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=4300430008;Terres de l'Ebre;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|43004&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|22&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=430043;Benvolgut alcalde;26/07/2019
2501000000;Alcanó;Ajuntament d'Alcanó;Major, 13;Alcanó;973-136500;973-136204;Il·lm. Sr.;Xavier Prunera Cebrià;Xavier;Prunera;Cebrià;IxA - AM;Senyor;Alcalde President;;P2501000J;Segrià;8103320002;Lleida;8002550006;N;2018;232;2;21,12;    ;Municipis;25162;;;N;SI;214;;;;H;Alcanó;ajuntament@alcano.ddl.net;http://alcano.ddl.net;Lleida;Lleida;alcanonesos;Alcanó;Lleida;www.municat.gencat.cat#http://aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2501000000;Ponent;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25010&FIT=True;www.municat.gencat.cat#http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True;http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250100;Benvolgut alcalde;26/07/2019
